,Country,CountryCode2,ISO-M49
0,Afghanistan,AFG,4
1,Aland Islands,ALA,248
2,Albania,ALB,8
3,Algeria,DZA,12
4,American Samoa,ASM,16
5,Andorra,AND,20
6,Angola,AGO,24
7,Anguilla,AIA,660
8,Antarctica,ATA,10
9,Antigua and Barbuda,ATG,28
10,Argentina,ARG,32
11,Armenia,ARM,51
12,Aruba,ABW,533
13,Australia,AUS,36
14,Austria,AUT,40
15,Azerbaijan,AZE,31
16,Bahamas,BHS,44
17,Bahrain,BHR,48
18,Bangladesh,BGD,50
19,Barbados,BRB,52
20,Belarus,BLR,112
21,Belgium,BEL,56
22,Belize,BLZ,84
23,Benin,BEN,204
24,Bermuda,BMU,60
25,Bhutan,BTN,64
26,Bolivia,BOL,68
27,Bosnia and Herzegovina,BIH,70
28,Botswana,BWA,72
29,Bouvet Island,BVT,74
30,Brazil,BRA,76
31,British Virgin Islands,VGB,92
32,British Indian Ocean Territory,IOT,86
33,Brunei Darussalam,BRN,96
34,Bulgaria,BGR,100
35,Burkina Faso,BFA,854
36,Burundi,BDI,108
37,Cambodia,KHM,116
38,Cameroon,CMR,120
39,Canada,CAN,124
40,Cape Verde,CPV,132
41,Cayman Islands,CYM,136
42,Central African Republic,CAF,140
43,Chad,TCD,148
44,Chile,CHL,152
45,China,CHN,156
46,"Hong Kong, SAR China",HKG,344
47,"Macao, SAR China",MAC,446
48,Christmas Island,CXR,162
49,Cocos (Keeling) Islands,CCK,166
50,Colombia,COL,170
51,Comoros,COM,174
52,Congo (Brazzaville),COG,178
53,"Congo, (Kinshasa)",COD,180
54,Cook Islands,COK,184
55,Costa Rica,CRI,188
56,C te d'Ivoire,CIV,384
57,Croatia,HRV,191
58,Cuba,CUB,192
59,Cyprus,CYP,196
60,Czech Republic,CZE,203
61,Denmark,DNK,208
62,Djibouti,DJI,262
63,Dominica,DMA,212
64,Dominican Republic,DOM,214
65,Ecuador,ECU,218
66,Egypt,EGY,818
67,El Salvador,SLV,222
68,Equatorial Guinea,GNQ,226
69,Eritrea,ERI,232
70,Estonia,EST,233
71,Ethiopia,ETH,231
72,Falkland Islands (Malvinas),FLK,238
73,Faroe Islands,FRO,234
74,Fiji,FJI,242
75,Finland,FIN,246
76,France,FRA,250
77,French Guiana,GUF,254
78,French Polynesia,PYF,258
79,French Southern Territories,ATF,260
80,Gabon,GAB,266
81,Gambia,GMB,270
82,Georgia,GEO,268
83,Germany,DEU,276
84,Ghana,GHA,288
85,Gibraltar,GIB,292
86,Greece,GRC,300
87,Greenland,GRL,304
88,Grenada,GRD,308
89,Guadeloupe,GLP,312
90,Guam,GUM,316
91,Guatemala,GTM,320
92,Guernsey,GGY,831
93,Guinea,GIN,324
94,Guinea-Bissau,GNB,624
95,Guyana,GUY,328
96,Haiti,HTI,332
97,Heard and Mcdonald Islands,HMD,334
98,Holy See (Vatican City State),VAT,336
99,Honduras,HND,340
100,Hungary,HUN,348
101,Iceland,ISL,352
102,India,IND,356
103,Indonesia,IDN,360
104,"Iran, Islamic Republic of",IRN,364
105,Iraq,IRQ,368
106,Ireland,IRL,372
107,Isle of Man,IMN,833
108,Israel,ISR,376
109,Italy,ITA,380
110,Jamaica,JAM,388
111,Japan,JPN,392
112,Jersey,JEY,832
113,Jordan,JOR,400
114,Kazakhstan,KAZ,398
115,Kenya,KEN,404
116,Kiribati,KIR,296
117,Korea (North),PRK,408
118,Korea (South),KOR,410
119,Kuwait,KWT,414
120,Kyrgyzstan,KGZ,417
121,Lao PDR,LAO,418
122,Latvia,LVA,428
123,Lebanon,LBN,422
124,Lesotho,LSO,426
125,Liberia,LBR,430
126,Libya,LBY,434
127,Liechtenstein,LIE,438
128,Lithuania,LTU,440
129,Luxembourg,LUX,442
